name,rating,ctype,highly_rated
Glenmark Pharmaceuticals,3.8,Pharma,Promotions
Synechron,3.4,IT Services & Consulting,"Job Security, Promotions, Work Satisfaction"
Birlasoft,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Kotak Mahindra Life Insurance Company,3.5,Insurance,"Work Satisfaction, Promotions, Company Culture"
Sodexo,4.0,Hospitality,"Company Culture, Work Life Balance, Work Satisfaction"
UNO Minda,3.9,Auto Components,"Job Security, Company Culture, Skill Development"
Bharat Electronics,4.2,Electronics Manufacturing,"Work Life Balance, Company Culture, Work Satisfaction"
ArcelorMittal Nippon Steel India,4.1,Manufacturing,"Work Life Balance, Job Security, Company Culture"
Cogent E Services,3.1,BPO,"Company Culture, Promotions, Salary"
Dabur,3.8,FMCG,Salary
Reliance Communications,4.0,Telecom,"Skill Development, Company Culture, Work Life Balance"
Tata Electronics,3.8,Semiconductors,Job Security
Godrej & Boyce Manufacturing,3.8,Consumer Electronics & Appliances,Job Security
Ipca Laboratories,3.8,Pharma,"Job Security, Work Life Balance"
Abbott,4.1,Pharma,"Work Life Balance, Skill Development, Salary"
Aarti Industries,4.1,Agro Chemicals,"Job Security, Work Life Balance, Company Culture"
Reliance Digital,4.1,Retail,"Skill Development, Job Security, Company Culture"
MRF Tyres,3.6,Auto Components,"Company Culture, Work Satisfaction, Work Life Balance"
TVS Credit Services Ltd,4.1,NBFC,"Salary, Company Culture, Work Life Balance"
IGT Solutions,3.1,BPO,"Promotions, Salary, Work Satisfaction"
Indian Oil Corporation,4.3,Oil & Gas,"Company Culture, Work Life Balance, Work Satisfaction"
Samvardhana Motherson Group,3.7,Auto Components,Job Security
Reliance Projects & Property Management Services,4.0,Other,"Job Security, Skill Development, Company Culture"
Alkem Laboratories,3.9,Pharma,"Work Life Balance, Salary"
Vishal Mega Mart,3.7,Retail,Salary
Sagility,3.9,BPO,"Job Security, Company Culture, Work Life Balance"
Honda Motorcycle & Scooter,4.1,Automobile,"Work Life Balance, Job Security, Company Culture"
DTDC Express,3.7,Logistics,"Promotions, Company Culture, Work Satisfaction"
ABB,4.0,Industrial Machinery,"Work Life Balance, Company Culture, Job Security"
"NTT DATA, Inc.",3.9,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
Johnson Controls,3.6,Industrial Automation,"Promotions, Work Satisfaction, Job Security"
Barclays,3.7,Banking,"Promotions, Work Satisfaction, Skill Development"
[24]7.ai,3.4,Hospitality,"Promotions, Salary, Work Satisfaction"
RSPL Group,4.0,FMCG,"Job Security, Work Life Balance, Company Culture"
Bajaj General Insurance Limited,3.7,Insurance,"Promotions, Work Life Balance, Work Satisfaction"
AGS Health,3.9,Analytics & KPO,"Company Culture, Job Security, Work Life Balance"
Hindustan Coca Cola Beverages,4.0,Beverage,"Salary, Skill Development, Company Culture"
IndusInd Nippon Life Insurance,3.3,Insurance,"Job Security, Company Culture, Work Satisfaction"
Ceat Tyres,3.9,Auto Components,"Job Security, Company Culture, Skill Development"
UBS,3.7,Financial Services,Work Life Balance
Croma,3.8,Retail,"Work Life Balance, Skill Development"
Jindal Stainless,4.2,Iron & Steel,"Job Security, Work Life Balance, Skill Development"
NatWest Group,3.9,Banking,"Work Life Balance, Job Security, Company Culture"
Alstom Transportation,3.7,Engineering & Construction,Job Security
Niva Bupa Health Insurance Company,3.9,Insurance,Work Life Balance
Ford Motor,4.2,Automobile,"Company Culture, Work Life Balance, Salary"
Conduent,3.4,BPO,"Promotions, Salary, Skill Development"
Tata Technologies,3.4,Automobile,"Promotions, Salary, Work Satisfaction"
Tata AutoComp Systems,3.6,Auto Components,Job Security
HARMAN,3.8,Consumer Electronics & Appliances,"Work Life Balance, Company Culture"
InterGlobe Aviation,3.4,Aviation,"Promotions, Salary, Work Life Balance"
Tata AIG,3.9,Insurance,"Job Security, Company Culture, Work Life Balance"
Zepto,3.6,Internet,"Job Security, Promotions, Company Culture"
GeBBS Healthcare Solutions,3.8,BPO,Job Security
Indian Air Force,4.6,Defence & Aerospace,"Job Security, Skill Development, Salary"
Canara HSBC Life Insurance,4.1,Insurance,"Work Life Balance, Salary, Company Culture"
Max Healthcare,3.9,Healthcare,"Skill Development, Job Security, Company Culture"
UPL,4.1,Agro Chemicals,"Job Security, Work Life Balance, Skill Development"
